pharmacie_id,osm_id,name,address,postcode,lat,lon,type_garde,is_garde,open_time,close_time
15,node/5595191913,Pharmacie Branes 2 صيدلية برانس,Avenue Ben Abi Zarae,90000.0,35.7614251,-5.8360408,normal,0,08:30,20:00
16,node/5595586684,Pharmacie Sidi Boukhari صيدلية سيدي البخاري,Avenue Sidi Boukhari,90000.0,35.7829045,-5.8319132,garde_24h,1,00:00,23:59
17,node/5603177820,صيدلية ياسين,Avenue Lait Ben Saad,90000.0,35.7696784,-5.8275932,normal,0,08:30,20:00
18,node/5618527218,Pharmacie Sidi Bouwafi صيدلية سيدي بوافي,63 Avenue Abou El Kacem Chrif Sebti,90000.0,35.7650061,-5.8235157,normal,0,08:30,20:00
19,node/5620338133,Pharmacie Afilal صيدلية أفيلال,30 Avenue Allal El Fassi شارع علال الفاسي,90000.0,35.7619903,-5.7998232,normal,0,08:30,20:00
20,node/5620813889,Pharmacie Metioui صيدلية المتيوي,153 Avenue Mohamed V,90000.0,35.7748294,-5.7980371,normal,0,08:30,20:00
21,node/5622780145,Pharmacie Touzani صيدلية التوزاني,Route de Tétouan,90000.0,35.7586041,-5.7933354,normal,0,08:30,20:00
22,node/8773605926,Pharmacie Al Hamd صيدلية الحمد,Avenue des Forces Armées Royales شارع الجيش الملكي,90000.0,35.7355071,-5.8587766,garde_24h,1,00:00,23:59
23,node/8779150287,Pharmacie Dar Tounsi صيدلية دار التونسي,Avenue Abdeslam Ben Bouhout,90002.0,35.7525722,-5.7988798,normal,0,08:30,20:00
24,node/8779185690,Pharmacie La Source صيدلية المنبع,Rue Al Quadissia,90000.0,35.7421059,-5.7966406,normal,0,08:30,20:00
25,node/8786480316,Pharmacie Route El Aouama صيدلية طريق العوامة,Avenue Al Quds شارع القدس,90000.0,35.7339531,-5.8018479,normal,0,08:30,20:00
26,node/8786530032,Pharmacie Zineb صيدلية زينب,Avenue Aicha Al-Moussafir,90000.0,35.7344339,-5.8052226,garde_nuit,1,20:00,08:30
27,node/8789247117,Pharmacie Al Hambra صيدلية الحمراء,Avenue Aicha Al-Moussafir,90000.0,35.7389882,-5.8055448,normal,0,08:30,20:00
28,node/8789329017,Pharmacie Al Aouda صيدلية العودة,Rue Tunisie زنقة تونس,90000.0,35.7470338,-5.8057471,garde_nuit,1,20:00,08:30
29,node/8789330443,Pharmacie Hamza صيدلية حمزة,33 Rue Yemen,90000.0,35.7482557,-5.8017203,normal,0,08:30,20:00
30,node/8789797362,Pharmacie Anoual صيدلية أنوال,26 Avenue Al Quds شارع القدس,90000.0,35.750137,-5.7993912,normal,0,08:30,20:00
31,node/8789866011,Pharmacie Annour صيدلية النور,15 Rue Mauritanie,90000.0,35.7447193,-5.8017768,normal,0,08:30,20:00
32,node/8789935713,Pharmacie Sania صيدلية السانيا,Avenue Aicha Al-Moussafir,90000.0,35.7429855,-5.8060324,normal,0,08:30,20:00
33,node/8789946332,Pharmacie El Aouama صيدلية العوامة,Boulevard Royaume d'Arabie Saoudite,90000.0,35.7433347,-5.7997666,normal,0,08:30,20:00
34,node/8790084574,Pharmacie Jirari صيدلية الجيراري,77 Avenue Aicha Al-Moussafir,90000.0,35.7488173,-5.80866,normal,0,08:30,20:00
35,node/8790144029,Pharmacie Afriquia صيدلية إفريقيا,44 Avenue Moulay Ali Cherif,90000.0,35.752572,-5.8070116,normal,0,08:30,20:00
36,node/8790161332,Pharmacie Moulay Ali Cherif صيدلية مولي علي الشريف,78 Avenue Moulay Ali Cherif,90000.0,35.7515983,-5.8020735,normal,0,08:30,20:00
37,node/8790182886,Pharmacie Fares صيدلية فارس,34 Avenue Abdeslam Ben Bouhout,90000.0,35.7555289,-5.7948987,garde_nuit,1,20:00,08:30
38,node/8790225817,Pharmacie du Quartier صيدلية الحي,56 Avenue R'gaia,90000.0,35.7572738,-5.7965159,normal,0,08:30,20:00
39,node/8791671580,Pharmacie Irchad صيدلية الإرشاد,Avenue R'gaia,90002.0,35.7553991,-5.7989719,garde_nuit,1,20:00,08:30
40,node/8791780067,Pharmacie Al Raha صيدلية الراحة,115 Boulevard Tarik Ibn Ziad شارع طارق بن زياد,90000.0,35.7660064,-5.8049135,normal,0,08:30,20:00
41,node/8791808232,Pharmacie Passadena صيدلية باسادينا,Route de Tétouan,90023.0,35.7660792,-5.7995678,normal,0,08:30,20:00
42,node/8791852156,Grande Pharmacie Rif صيدلية الريف الكبرى,17 Avenue Moulay Ali Cherif,90000.0,35.7539222,-5.8100232,normal,0,08:30,20:00
43,node/8791853805,Pharmacie Benallal صيدلية ابن علال,127 Boulevard Fatima Zahra,90002.0,35.7554299,-5.8020759,normal,0,08:30,20:00
44,node/8791867819,Pharmacie Hay Bouhout صيدلية حي بوحوت,Avenue Abdelkhalek Torres,90000.0,35.7553348,-5.8055756,normal,0,08:30,20:00
45,node/8792314823,Pharmacie de la Santé صيدلية الصحة,Boulevard Tarik Ibn Ziad شارع طارق بن زياد,90000.0,35.7581749,-5.8015535,normal,0,08:30,20:00
46,node/8792374279,Pharmacie Al Hikma صيدلية الحكمة,25 Rue Omar El Mokhtar,90000.0,35.7591814,-5.8048347,normal,0,08:30,20:00
47,node/8792399569,Pharmacie Drissia صيدلية الإدريسية,42 Boulevard Tarik Ibn Ziad شارع طارق بن زياد,90000.0,35.7622996,-5.8034792,normal,0,08:30,20:00
48,node/8792404870,Pharmacie du Parc صيدلية الروض,Boulevard Moulay Soulayman,90000.0,35.7630107,-5.8126443,normal,0,08:30,20:00
49,node/8792431649,Pharmacie Province صيدلية العمالة,38 Rue de la Province,90000.0,35.7643841,-5.8082636,normal,0,08:30,20:00
50,node/8792433383,Pharmacie Al Kodss صيدلية القدس,51 Rue Mansour Ben Abi Amir,90000.0,35.7625622,-5.8065548,normal,0,08:30,20:00
51,node/8792466392,Pharmacie Assalam صيدلية السلام,26 Rue Oued Ouargha شارع وادي ورغة,90000.0,35.7518181,-5.8116118,normal,0,08:30,20:00
52,node/8795156062,Pharmacie Zaoudia صيدلية الزاودية,42 Avenue Achouhada,90000.0,35.7555978,-5.8166095,normal,0,08:30,20:00
53,node/8811617405,Pharmacie Beni Makada صيدلية بني مكادة,152 Boulevard Moulay Soulayman,90026.0,35.7591748,-5.8128161,normal,0,08:30,20:00
54,node/8811650131,Pharmacie Mabrouka صيدلية مبروكة,35 Rue Ai Benbtaher Abih,90000.0,35.7582633,-5.8147929,garde_nuit,1,20:00,08:30
55,node/8811706507,Pharmacie Ibn Annafis صيدلية بن النفيس,29 Rue My Tahar Ben Abdelkrim Boughaz,90000.0,35.7613621,-5.8172393,normal,0,08:30,20:00
56,node/8811798586,Pharmacie Préfecture Beni Makada صيدلية عمالة بني مكادة,Rue El Hind,90000.0,35.7418415,-5.8097779,garde_24h,1,00:00,23:59
57,node/8811803855,Pharmacie Al Fath صيدلية الفتح,26 Boulevard Royaume d'Arabie Saoudite,90000.0,35.7421352,-5.8125651,normal,0,08:30,20:00
58,node/8811814167,Pharmacie Badr صيدلية بدر,49 Rue El Hind,90000.0,35.7450738,-5.8094117,normal,0,08:30,20:00
59,node/8811910202,Pharmacie Ouled Allal صيدلية أولاد علال,Boulevard Royaume d'Arabie Saoudite,90016.0,35.7435833,-5.8152877,garde_nuit,1,20:00,08:30
60,node/8812208759,Pharmacie Nouvelle الصيدلية الجديدة,Rue 4 زنقة,90000.0,35.7573328,-5.8242892,normal,0,08:30,20:00
