code,nom,dci,forme,dosage
6118000031598,GRISEO SALICYLEE,GRISEOFULVINE / ACIDE SALICYLIQUE,POMMADE,5 / 3 % / %
6118000140818,IBUPHIL,IBUPROFENE,SIROP,2 %
6118001150687,CEPHYL,MULTIPLE,COMPRIME,nan nan
6118010000614,RISPERDAL,RISPERIDONE,COMPRIME PELLICULE SECABLE,2 MG
6118000120476,TOPSYNE APG,FLUOCINONIDE,POMMADE,0.05 %
6118001120543,LAMISIL,TERBINAFINE,CREME,1 %
6118001080427,LANTUS,INSULINE HUMAINE,SOLUTION INJECTABLE LP,100 UI
6118000050186,DIPROSALIC,BETAMETHASONE / ACIDE SALICYLIQUE,POMMADE,15 / 900 MG / MG
6118001090129,CIPROXINE,CIPROFLOXACINE,SOLUTION POUR PERFUSION,100 MG
6118000290063,MODURETIC,AMILORIDE / HYDROCHLOROTHIAZIDE,COMPRIME SECABLE,5 / 50 MG / MG
6118000030515,SYSTRAL,CHLORPHENOXAMINE,CREME,15 MG
6118000030508,SYSTRAL C,CHLORPHENOXAMINE / CAFEINE,COMPRIME DRAGEIFIE,20 / 50 MG / MG
6118010119149,ACLASTA 5MG/100ML,ACIDE ZOLEDRONIQUE,SOLUTION POUR PERFUSION,5 MG/100ML
6118001100538,PUREGON,FOLLITROPINE BETA,POUDRE POUR SOLUTION INJECTABLE,50 UI
6118000241713,BACTOX,AMOXICILLINE,PREPARATION INJECTABLE,500 MG
6118010019302,AVOCOMB,LAMIVUDINE / ZIDOVUDINE,COMPRIME PELLICULE,150 / 300 MG / MG
6118000020257,ISOLONE,PREDNISOLONE,COMPRIME,50 MG
6118001071159,STRATTERA 40 MG,ATOMOXETINE,GELULE,40 MG
6118001121250,INSULINE MIXTARD 30 HM PENFILL,INSULINE HUMAINE,SUSPENSION INJECTABLE INTERMEDIAIRE,100 UI
6118010032813,GONAL-F 1050 UI,FOLLITROPINE ALFA,POUDRE POUR SOLUTION INJECTABLE,1050 UI
6118000032618,OXIFLOR,OFLOXACINE,COMPRIME PELLICULE,200 MG
6118010035654,"INNOHEP 10 000 UI ANTI-XA/0,5 ML",TINZAPARINE,SOLUTION INJECTABLE,20000 UI
6118001184125,OXALIPLATINE WIN 5 MG/ML,OXALIPLATINE,POUDRE POUR SOLUTION POUR PERFUSION,50 MG
6118000031895,PECTRYL,BROMHEXINE / SULFOGAICOLE,SIROP,40 / 4 MG / G
6118000070467,GENTAMICINE LLORENTE,GENTAMICINE,SOLUTION INJECTABLE,120 MG
6118001070589,THIOPENTAL BIOCHEMIE,THIOPENTAL,POUDRE POUR PREPARATION INJECTABLE,1 G
6118000030041,ANTINOREX,CYPROHEPTADINE,COMPRIME,4 MG
6118001180950,ELUDRIL,CHLORHEXIDINE / TETRACAINE,COLLUTOIRE,50 / 15 % / %
6118001160198,STOCRIN,EFAVIRENZ,COMPRIME ENROBE,600 MG
6118000040576,MOBIC,MELOXICAM,SUPPOSITOIRE,15 MG
6118000010050,ABBOTICINE,ERYTHROMYCINE,GRANULE POUR SUSPENSION BUVABLE,200 MG
6118000280118,STARMOX,AMOXICILLINE,COMPRIME DISPERSIBLE,500 MG
6118000061007,ORACILLINE,PHENOXYMETHYLPENICILLINE,COMPRIME SECABLE,1 MUI
6118000070931,TROXINE,ROXITHROMYCINE,COMPRIME PELLICULE,300 MG
6118010117633,AVANDAMET,ROSIGLITAZONE / METFORMINE,COMPRIME PELLICULE,1 / 500 MG / MG
6118000010142,ALVITYL,VITAMINES,COMPRIME ENROBE,nan nan
6118010024719,MUCOSTEINE,CARBOCYSTEINE,SIROP,5 %
6118000220138,OTRIVINE,XYLOMETAZOLINE,SOLUTION POUR PULVERISATION NASALE,0.1 %
6118001142637,REVOLADE 50MG,ELTROMBOPAG,COMPRIME PELLICULE,50 MG
6118001050024,BACTRIM,SULFAMETHOXAZOLE / TRIMETHOPRIME,SOLUTION POUR PERFUSION,400 / 80 MG / MG
